Date,Close
10/22/2015,0.71
10/23/2015,0.71
10/26/2015,0.72
10/27/2015,0.7
10/28/2015,0.71
10/29/2015,0.69
10/30/2015,0.72
11/2/2015,0.73
11/3/2015,0.72
11/4/2015,0.71
11/5/2015,0.72
11/6/2015,0.71
11/9/2015,0.72
11/10/2015,0.76
11/11/2015,0.84
11/12/2015,0.82
11/13/2015,0.82
11/16/2015,0.84
11/17/2015,0.88
11/18/2015,0.9
11/19/2015,0.9
11/20/2015,0.91
11/23/2015,1.01
11/24/2015,1.11
11/25/2015,0.99
11/26/2015,1.01
11/27/2015,1.06
11/30/2015,1.05
12/1/2015,1.06
12/2/2015,1.06
12/3/2015,1.06
12/4/2015,1.05
12/7/2015,1.05
12/8/2015,1.01
12/9/2015,1.03
12/10/2015,1.02
12/11/2015,1
12/14/2015,0.99
12/15/2015,0.98
12/16/2015,1.02
12/17/2015,1.03
12/18/2015,1.39
12/21/2015,1.58
12/22/2015,1.55
12/23/2015,1.75
12/24/2015,1.88
12/29/2015,2.15
12/30/2015,1.88
12/31/2015,1.71
1/4/2016,1.88
1/5/2016,1.79
1/6/2016,1.71
1/7/2016,1.61
1/8/2016,1.66
1/11/2016,1.64
1/12/2016,1.67
1/13/2016,1.69
1/14/2016,1.63
1/15/2016,1.65
1/18/2016,1.59
1/19/2016,1.69
1/20/2016,1.62
1/21/2016,1.61
1/22/2016,1.68
1/25/2016,1.74
1/27/2016,1.7
1/28/2016,1.67
1/29/2016,1.7
2/1/2016,1.61
2/2/2016,1.65
2/3/2016,1.63
2/4/2016,1.65
2/5/2016,1.82
2/8/2016,1.77
2/9/2016,1.73
2/10/2016,1.67
2/11/2016,1.68
2/12/2016,1.67
2/15/2016,1.71
2/16/2016,1.88
2/17/2016,1.93
2/18/2016,1.87
2/19/2016,1.69
2/22/2016,1.67
2/23/2016,1.66
2/24/2016,1.67
2/25/2016,1.64
2/26/2016,1.62
2/29/2016,1.64
3/1/2016,1.64
3/2/2016,1.63
3/3/2016,1.66
3/4/2016,1.65
3/7/2016,1.66
3/8/2016,1.68
3/9/2016,1.61
3/10/2016,1.64
3/11/2016,1.66
3/14/2016,1.65
3/15/2016,1.62
3/16/2016,1.64
3/17/2016,1.67
3/18/2016,1.73
3/21/2016,1.73
3/22/2016,1.78
3/23/2016,1.78
3/24/2016,1.76
3/29/2016,1.66
3/30/2016,1.7
3/31/2016,1.71
4/1/2016,1.72
4/4/2016,1.72
4/5/2016,1.7
4/6/2016,1.72
4/7/2016,1.73
4/8/2016,1.74
4/11/2016,1.71
4/12/2016,1.6
4/13/2016,1.62
4/14/2016,1.68
4/15/2016,1.67
4/18/2016,1.67
4/19/2016,1.65
4/20/2016,1.62
4/21/2016,1.66
4/22/2016,1.64
4/26/2016,1.62
4/27/2016,1.62
4/28/2016,1.63
4/29/2016,1.61
5/2/2016,1.6
5/3/2016,1.64
5/4/2016,1.63
5/5/2016,1.62
5/6/2016,1.65
